Time [s], Analyzer Name, Decoded Protocol Result
3.297593500000000,Simple Parallel,'0'
3.298111750000000,Simple Parallel,'1'
3.373244875000000,Simple Parallel,'0'
3.373762500000000,Simple Parallel,'1'
3.374280250000000,Simple Parallel,'0'
3.374797875000000,Simple Parallel,'0'
3.375315500000000,Simple Parallel,'0'
3.375833250000000,Simple Parallel,'0'
3.376351000000000,Simple Parallel,'1'
3.376869125000000,Simple Parallel,'0'
3.377386375000000,Simple Parallel,'0'
3.377904000000000,Simple Parallel,'0'
3.378421750000000,Simple Parallel,'0'
3.378939375000000,Simple Parallel,'1'
3.379457125000000,Simple Parallel,'0'
3.379974875000000,Simple Parallel,'0'
3.380492500000000,Simple Parallel,'1'
3.381010625000000,Simple Parallel,'0'
3.381527875000000,Simple Parallel,'1'
3.382045625000000,Simple Parallel,'1'
3.382563250000000,Simple Parallel,'0'
3.383081000000000,Simple Parallel,'0'
3.383598875000000,Simple Parallel,'0'
3.384116375000000,Simple Parallel,'0'
3.384634000000000,Simple Parallel,'0'
3.385152125000000,Simple Parallel,'1'
3.385669375000000,Simple Parallel,'0'
3.386187125000000,Simple Parallel,'0'
3.386704750000000,Simple Parallel,'0'
3.387222375000000,Simple Parallel,'1'
3.387740125000000,Simple Parallel,'0'
3.388257875000000,Simple Parallel,'1'
3.388775625000000,Simple Parallel,'0'
3.389293750000000,Simple Parallel,'1'
3.389811125000000,Simple Parallel,'0'
3.390334750000000,Simple Parallel,'0'
3.390846500000000,Simple Parallel,'0'
3.391364250000000,Simple Parallel,'0'
3.391881875000000,Simple Parallel,'1'
3.392399625000000,Simple Parallel,'1'
3.392917375000000,Simple Parallel,'0'
3.393435500000000,Simple Parallel,'1'
3.472535125000000,Simple Parallel,'0'
3.473052875000000,Simple Parallel,'1'
3.473570500000000,Simple Parallel,'0'
3.474088250000000,Simple Parallel,'0'
3.474606000000000,Simple Parallel,'0'
3.475123750000000,Simple Parallel,'0'
3.475641375000000,Simple Parallel,'0'
3.476159500000000,Simple Parallel,'1'
